FIPS,Attribute_x,Value_x,Attribute_y,Value_y,Attribute,Value
05135,ForeignBornPct,0.858319318,NumCivEmployed,5972.0,Median_HH_Inc_ACS,37361.0
05137,ForeignBornPct,0.849239728,NumCivEmployed,4031.0,Median_HH_Inc_ACS,32813.0
05139,ForeignBornPct,2.536804034,NumCivEmployed,15572.0,Median_HH_Inc_ACS,46444.0
05141,ForeignBornPct,0.977856287,NumCivEmployed,5538.0,Median_HH_Inc_ACS,40763.0
05143,ForeignBornPct,10.80014663,NumCivEmployed,118016.0,Median_HH_Inc_ACS,56610.0
05145,ForeignBornPct,2.677911126,NumCivEmployed,31909.0,Median_HH_Inc_ACS,46345.0
05147,ForeignBornPct,0.173693352,NumCivEmployed,2665.0,Median_HH_Inc_ACS,43717.0
05149,ForeignBornPct,9.854068037,NumCivEmployed,9120.0,Median_HH_Inc_ACS,51070.0
06000,ForeignBornPct,26.49813829,NumCivEmployed,18676721.0,Median_HH_Inc_ACS,84097.0
06001,ForeignBornPct,32.94125452,NumCivEmployed,874563.0,Median_HH_Inc_ACS,112017.0
06003,ForeignBornPct,4.761904762,NumCivEmployed,522.0,Median_HH_Inc_ACS,96000.0
06005,ForeignBornPct,6.252649956,NumCivEmployed,15114.0,Median_HH_Inc_ACS,69955.0
06007,ForeignBornPct,7.610012667,NumCivEmployed,96203.0,Median_HH_Inc_ACS,59863.0
06009,ForeignBornPct,4.754239344,NumCivEmployed,16631.0,Median_HH_Inc_ACS,70119.0
06011,ForeignBornPct,26.68503214,NumCivEmployed,9538.0,Median_HH_Inc_ACS,61861.0
06013,ForeignBornPct,24.96214414,NumCivEmployed,570386.0,Median_HH_Inc_ACS,110455.0
06015,ForeignBornPct,8.186584704,NumCivEmployed,9245.0,Median_HH_Inc_ACS,53280.0
06017,ForeignBornPct,9.266508543,NumCivEmployed,87325.0,Median_HH_Inc_ACS,88770.0
06019,ForeignBornPct,19.92304242,NumCivEmployed,415669.0,Median_HH_Inc_ACS,61276.0
06021,ForeignBornPct,16.04533566,NumCivEmployed,12172.0,Median_HH_Inc_ACS,56332.0
06023,ForeignBornPct,6.083319953,NumCivEmployed,60195.0,Median_HH_Inc_ACS,53350.0
06025,ForeignBornPct,29.92985321,NumCivEmployed,58404.0,Median_HH_Inc_ACS,49078.0
06027,ForeignBornPct,7.046373112,NumCivEmployed,8356.0,Median_HH_Inc_ACS,60925.0
06029,ForeignBornPct,19.65441167,NumCivEmployed,353637.0,Median_HH_Inc_ACS,58824.0
06031,ForeignBornPct,19.12079375,NumCivEmployed,52477.0,Median_HH_Inc_ACS,63267.0
06033,ForeignBornPct,8.928545071,NumCivEmployed,25509.0,Median_HH_Inc_ACS,53399.0
06035,ForeignBornPct,5.387113418,NumCivEmployed,8639.0,Median_HH_Inc_ACS,59292.0
06037,ForeignBornPct,33.47394391,NumCivEmployed,4885032.0,Median_HH_Inc_ACS,76367.0
06039,ForeignBornPct,19.94254786,NumCivEmployed,58744.0,Median_HH_Inc_ACS,66709.0
06041,ForeignBornPct,18.49558095,NumCivEmployed,130613.0,Median_HH_Inc_ACS,131008.0
06043,ForeignBornPct,5.567489115,NumCivEmployed,7040.0,Median_HH_Inc_ACS,53304.0
06045,ForeignBornPct,12.3353071,NumCivEmployed,38972.0,Median_HH_Inc_ACS,56378.0
06047,ForeignBornPct,26.0200609,NumCivEmployed,108194.0,Median_HH_Inc_ACS,58861.0
06049,ForeignBornPct,7.187894073,NumCivEmployed,2993.0,Median_HH_Inc_ACS,51090.0
06051,ForeignBornPct,16.81589045,NumCivEmployed,7097.0,Median_HH_Inc_ACS,71138.0
06053,ForeignBornPct,29.04365615,NumCivEmployed,189807.0,Median_HH_Inc_ACS,82013.0
06055,ForeignBornPct,21.48636478,NumCivEmployed,70147.0,Median_HH_Inc_ACS,97498.0
06057,ForeignBornPct,6.107356254,NumCivEmployed,46744.0,Median_HH_Inc_ACS,74617.0
06059,ForeignBornPct,29.44507297,NumCivEmployed,1596831.0,Median_HH_Inc_ACS,100485.0
06061,ForeignBornPct,11.72482702,NumCivEmployed,185819.0,Median_HH_Inc_ACS,99734.0
06063,ForeignBornPct,3.647292548,NumCivEmployed,7760.0,Median_HH_Inc_ACS,57885.0
06065,ForeignBornPct,21.5388006,NumCivEmployed,1045030.0,Median_HH_Inc_ACS,76066.0
06067,ForeignBornPct,21.02639895,NumCivEmployed,732788.0,Median_HH_Inc_ACS,76422.0
06069,ForeignBornPct,19.97505092,NumCivEmployed,30951.0,Median_HH_Inc_ACS,95606.0
06071,ForeignBornPct,20.65524343,NumCivEmployed,934832.0,Median_HH_Inc_ACS,70287.0
06073,ForeignBornPct,22.72566625,NumCivEmployed,1572927.0,Median_HH_Inc_ACS,88240.0
06075,ForeignBornPct,34.1132628,NumCivEmployed,511902.0,Median_HH_Inc_ACS,126187.0
06077,ForeignBornPct,23.3236454,NumCivEmployed,327491.0,Median_HH_Inc_ACS,74962.0
06079,ForeignBornPct,9.667893808,NumCivEmployed,130139.0,Median_HH_Inc_ACS,82514.0
06081,ForeignBornPct,35.10927385,NumCivEmployed,409344.0,Median_HH_Inc_ACS,136837.0
06083,ForeignBornPct,22.394678,NumCivEmployed,211109.0,Median_HH_Inc_ACS,84356.0
06085,ForeignBornPct,39.93971083,NumCivEmployed,1007768.0,Median_HH_Inc_ACS,140258.0
06087,ForeignBornPct,17.82661738,NumCivEmployed,136507.0,Median_HH_Inc_ACS,96093.0
06089,ForeignBornPct,5.561326848,NumCivEmployed,75545.0,Median_HH_Inc_ACS,61937.0
06091,ForeignBornPct,3.280285807,NumCivEmployed,1387.0,Median_HH_Inc_ACS,56152.0
06093,ForeignBornPct,5.825462617,NumCivEmployed,16554.0,Median_HH_Inc_ACS,49857.0
06095,ForeignBornPct,19.71880593,NumCivEmployed,212151.0,Median_HH_Inc_ACS,89648.0
06097,ForeignBornPct,16.3245333,NumCivEmployed,251382.0,Median_HH_Inc_ACS,91607.0
06099,ForeignBornPct,20.1384426,NumCivEmployed,234325.0,Median_HH_Inc_ACS,68368.0
06101,ForeignBornPct,21.82983448,NumCivEmployed,41668.0,Median_HH_Inc_ACS,67003.0
06103,ForeignBornPct,8.510215013,NumCivEmployed,26019.0,Median_HH_Inc_ACS,52901.0
06105,ForeignBornPct,7.756985713,NumCivEmployed,5413.0,Median_HH_Inc_ACS,42206.0
06107,ForeignBornPct,21.66883581,NumCivEmployed,187269.0,Median_HH_Inc_ACS,57394.0
06109,ForeignBornPct,5.274876455,NumCivEmployed,21541.0,Median_HH_Inc_ACS,66846.0
06111,ForeignBornPct,21.11339182,NumCivEmployed,410141.0,Median_HH_Inc_ACS,94150.0
06113,ForeignBornPct,22.34994439,NumCivEmployed,101603.0,Median_HH_Inc_ACS,78386.0
06115,ForeignBornPct,12.7493657,NumCivEmployed,30557.0,Median_HH_Inc_ACS,62666.0
08000,ForeignBornPct,9.530791994,NumCivEmployed,2975830.0,Median_HH_Inc_ACS,80184.0
08001,ForeignBornPct,15.03896351,NumCivEmployed,269511.0,Median_HH_Inc_ACS,78304.0
08003,ForeignBornPct,7.602124931,NumCivEmployed,7489.0,Median_HH_Inc_ACS,46217.0
08005,ForeignBornPct,15.5745441,NumCivEmployed,351117.0,Median_HH_Inc_ACS,84947.0
08007,ForeignBornPct,3.859199518,NumCivEmployed,5957.0,Median_HH_Inc_ACS,62907.0
08009,ForeignBornPct,4.177323103,NumCivEmployed,1488.0,Median_HH_Inc_ACS,39891.0
08011,ForeignBornPct,2.951714724,NumCivEmployed,1589.0,Median_HH_Inc_ACS,40972.0
08013,ForeignBornPct,9.897996124,NumCivEmployed,177979.0,Median_HH_Inc_ACS,92466.0
08014,ForeignBornPct,10.28240505,NumCivEmployed,41171.0,Median_HH_Inc_ACS,107570.0
08015,ForeignBornPct,3.339164437,NumCivEmployed,8945.0,Median_HH_Inc_ACS,61216.0
08017,ForeignBornPct,5.913660556,NumCivEmployed,810.0,Median_HH_Inc_ACS,69063.0
08019,ForeignBornPct,3.670308688,NumCivEmployed,5647.0,Median_HH_Inc_ACS,76313.0
08021,ForeignBornPct,2.559704447,NumCivEmployed,3100.0,Median_HH_Inc_ACS,38536.0
08023,ForeignBornPct,5.430764856,NumCivEmployed,1292.0,Median_HH_Inc_ACS,35000.0
08025,ForeignBornPct,2.210036557,NumCivEmployed,1714.0,Median_HH_Inc_ACS,37870.0
08027,ForeignBornPct,3.389830509,NumCivEmployed,1915.0,Median_HH_Inc_ACS,59877.0
08029,ForeignBornPct,4.747374169,NumCivEmployed,11943.0,Median_HH_Inc_ACS,51803.0
08031,ForeignBornPct,14.2372867,NumCivEmployed,410401.0,Median_HH_Inc_ACS,78177.0
08033,ForeignBornPct,1.136363636,NumCivEmployed,1123.0,Median_HH_Inc_ACS,62500.0
